chart_position,release_date,track_name,track_id,popularity,duration_ms,track_number,artists,album_name,album_url,track_url,genre,extraction_date
70,2025-03-14,RATHER LIE (with The Weeknd),68qeaZhtMZ6abrJCYt6nQn,88,209680,8,"Playboi Carti, The Weeknd",MUSIC,https://open.spotify.com/album/0fSfkmx0tdPqFYkJuNX74a,https://open.spotify.com/track/68qeaZhtMZ6abrJCYt6nQn,rage rap,2025-05-27
71,2025-02-21,Happen To Me,64KV9vjChfN2w9vA4j7A2K,79,183615,1,Russell Dickerson,Happen To Me,https://open.spotify.com/album/5FzT4YTYR95DHUhUkKWjvb,https://open.spotify.com/track/64KV9vjChfN2w9vA4j7A2K,country,2025-05-27
72,2024-10-18,House Again,16MeIVoFWTq2E0r6DwIek5,82,203822,1,Hudson Westbrook,House Again,https://open.spotify.com/album/4LP7dD3panB9oryXnMBqJW,https://open.spotify.com/track/16MeIVoFWTq2E0r6DwIek5,country,2025-05-27
73,2024-02-23,Holy Smokes,1kMWJ16W3Yk3hyNmaM7jfQ,78,195157,1,Bailey Zimmerman,Holy Smokes,https://open.spotify.com/album/389w7hzxpiOmpGEWFCNEoP,https://open.spotify.com/track/1kMWJ16W3Yk3hyNmaM7jfQ,country,2025-05-27
74,2024-10-11,Backseat Driver,68SYsp6XfIEnlDYMgMyxUv,71,228066,1,Kane Brown,Backseat Driver,https://open.spotify.com/album/5wSRDE5eSLvPbrSuAxgDlm,https://open.spotify.com/track/68SYsp6XfIEnlDYMgMyxUv,country,2025-05-27
75,2024-03-28,Feel It (From “Invincible”),3SAga35lAPYdjj3qyfEsCF,90,157974,1,d4vd,Feel It (From “Invincible”),https://open.spotify.com/album/0GHlPN101r1WcuQCwINbI2,https://open.spotify.com/track/3SAga35lAPYdjj3qyfEsCF,Unknown,2025-05-27
76,2025-01-31,Te Quería Ver,78HEzDEs1QUnHB2DbxgC1s,92,176129,1,"Alemán, Neton Vega",Te Quería Ver,https://open.spotify.com/album/3PgvJGHxtoablFQjDI2pQF,https://open.spotify.com/track/78HEzDEs1QUnHB2DbxgC1s,mexican hip hop,2025-05-27
77,2025-04-25,Amen,2iSfSJrho5XkU2NmAnZ9ZV,77,197403,13,"Shaboozey, Jelly Roll","Where I've Been, Isn't Where I'm Going: The Complete Edition",https://open.spotify.com/album/7h7fjoD137eLq9B3KHWXtW,https://open.spotify.com/track/2iSfSJrho5XkU2NmAnZ9ZV,Unknown,2025-05-27
78,2024-12-20,Loco,63EQbNhgaih4yg5412usWG,85,186521,1,Neton Vega,Loco,https://open.spotify.com/album/1vNUD9sUBRHFFQiwYZm232,https://open.spotify.com/track/63EQbNhgaih4yg5412usWG,corrido,2025-05-27
79,2025-04-24,My World,5PCn4ysnzhILLhQY0u4Ans,76,157979,1,Chuckyy,My World,https://open.spotify.com/album/3WRgF7kV3rACmcjk8JDbdh,https://open.spotify.com/track/5PCn4ysnzhILLhQY0u4Ans,chicago drill,2025-05-27
80,2025-03-13,The Giver,5xHgo5JN0wfsV41HnRaos5,86,202768,1,Chappell Roan,The Giver,https://open.spotify.com/album/7GicDmV1udDFss8K0QY1v1,https://open.spotify.com/track/5xHgo5JN0wfsV41HnRaos5,Unknown,2025-05-27
81,2025-01-05,EoO,6J5kc12BW5HuP3d7C3vvx8,94,204768,15,Bad Bunny,DeBÍ TiRAR MáS FOToS,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8,reggaeton,2025-05-27
82,2024-12-20,BMF,3U3hFkMr0Q90pD24EkE3Pr,87,180746,5,SZA,SOS Deluxe: LANA,https://open.spotify.com/album/3VQkNrG74QPY4rHBPoyZYZ,https://open.spotify.com/track/3U3hFkMr0Q90pD24EkE3Pr,r&b,2025-05-27
83,2025-01-10,Are You Even Real (feat. Givēon),4ZO4HvFADvujrrEidSatEC,70,147702,1,"Teddy Swims, GIVĒON",Are You Even Real (feat. Givēon),https://open.spotify.com/album/0VpJTeHhzQW6Z13FeBTeJD,https://open.spotify.com/track/4ZO4HvFADvujrrEidSatEC,Unknown,2025-05-27
84,2025-02-14,Busy Woman,0b0Dz0Gi86SVdBxYeiQcCP,91,186612,16,Sabrina Carpenter,Short n' Sweet (Deluxe),https://open.spotify.com/album/3WzBIQmn2hrulLeTY9smkk,https://open.spotify.com/track/0b0Dz0Gi86SVdBxYeiQcCP,Unknown,2025-05-27
